Price,Spirits Low,Spirits Medium,Spirits High,Wine Low,Wine Medium,Wine High,Beer Low,Beer Medium,Beer High
Spirits Low,-0.663,-0.024,-0.024,0.106,0.106,-0.136,-0.225,-0.225,-0.225
Spirits Medium,0.255,-0.663,-0.024,0.106,0.106,-0.136,0.178,-0.225,-0.225
Spirits High,0.255,0.255,-0.663,0.106,0.106,-0.136,0.178,0.178,0.178
Wine Low,-0.078,-0.078,-0.078,-0.586,0.113,0.113,-0.225,-0.225,-0.225
Wine Medium,-0.078,-0.078,-0.078,0.339,-0.586,0.113,-0.225,-0.225,-0.225
Wine High,0.112,0.112,0.112,0.339,0.339,-0.586,0.178,0.178,0.178
Beer Low,0.112,-0.078,-0.078,0.106,0.106,-0.136,-1.704,1.201,1.201
Beer Medium,0.112,0.112,-0.078,0.106,0.106,-0.136,0.72,-1.704,1.201
Beer High,0.112,0.112,-0.078,0.106,0.106,-0.136,0.72,0.72,-1.704
