Name,Price,Units,Sales,Year,Category,Category_2
Draft Upcountry Strawb Milk IPA,6.75,61,405,2021,BI,Beer
Draft Upcountry Strawb Milk IPA,5.75,14,80.5,2021,BI,Beer
Draft Victory Golden Monkey,7.5,28,210,2021,BI,Beer
Draft Victory Golden Monkey,7,31,217,2020,BI,Beer
Draft Victory Golden Monkey,6.5,7,45.5,2021,BI,Beer
Draft Victory Golden Monkey,6,2,12,2020,BI,Beer
Draft Victory Hop Haze IPA,6,32,192,2021,BI,Beer
Draft Victory Hop Haze IPA,5,2,10,2021,BI,Beer
Draft Victory Merry Monkey,7.5,46,345,2021,BI,Beer
Draft Victory Merry Monkey,6.5,21,136.5,2021,BI,Beer
Draft Victory Sour Monkey,7.5,48,330,2021,BI,Beer
Draft Victory Sour Monkey,6.5,17,110.5,2021,BI,Beer
Draft Victory Summer Hazy ,6,35,192,2021,BI,Beer
Draft Victory Summer Hazy ,5,5,25,2021,BI,Beer
Draft Voodoo Hazy IPA,5.5,143,799.75,2021,BI,Beer
Draft Voodoo Hazy IPA,4.5,42,198.75,2021,BI,Beer
Draft Westbrook iPA,6.25,138,862.5,2021,BI,Beer
Draft Westbrook iPA,6.25,354,2162.5,2022,BI,Beer
Draft Westbrook iPA,6,20,120,2020,BI,Beer
Draft Westbrook iPA,5.5,1,5.5,2020,BI,Beer
Draft Westbrook iPA,5.25,30,157.5,2021,BI,Beer
Draft Westbrook iPA,5.25,106,556.5,2022,BI,Beer
Draft Westbrook Key Lime Pie Gose,7,29,182,2021,BI,Beer
Draft Westbrook Key Lime Pie Gose,6,8,42,2021,BI,Beer
Draft Westbrook White,6,161,942,2022,BI,Beer
Draft Westbrook White,5,34,170,2022,BI,Beer
Draft Westbrook White THai,6,100,594,2021,BI,Beer
Draft Westbrook White THai,5,17,85,2021,BI,Beer
Draft Wicked Weed Freak of Nature DIPA,7.25,51,348,2021,BI,Beer
Draft Wicked Weed Freak of Nature DIPA,6.75,104,702,2019,BI,Beer
Draft Wicked Weed Freak of Nature DIPA,6.25,29,181.25,2019,BI,Beer
Draft Wicked Weed Freak of Nature DIPA,6.25,16,100,2021,BI,Beer
Draft Wicked Weed Freak of Nature DIPA,6,33,198,2020,BI,Beer
Draft Wicked Weed Freak of Nature DIPA,5,6,30,2020,BI,Beer
Draft Wild Leap Lemonad,6.5,35,227.5,2022,BI,Beer
Draft Wild Leap Lemonad,5.5,6,33,2022,BI,Beer
Draft Wild Leap Lemonade Sour,6.5,32,208,2021,BI,Beer
Draft Wisacre Oktoberfest Gemutlichkeit,5.5,31,170.5,2021,BI,Beer
Draft Wisacre Oktoberfest Gemutlichkeit,4.5,6,27,2021,BI,Beer
Draft Wiseacre Ananda IPA,6.25,34,206.25,2022,BI,Beer
Draft Wiseacre Ananda IPA,5,82,410,2021,BI,Beer
Draft Wiseacre Ananda IPA,4,27,108,2021,BI,Beer
Draft Wiseacre Bow Eacho Hazy,5.5,110,599.5,2021,BI,Beer
Draft Wiseacre Bow Eacho Hazy,4.5,19,85.5,2021,BI,Beer
Draft Wiseacre Coffee Milk Stout,5.5,30,159.5,2022,BI,Beer
Draft Wiseacre Coffee Milk Stout,5.5,27,143,2021,BI,Beer
Draft Wiseacre Coffee Milk Stout,4.5,6,27,2022,BI,Beer
Draft Wiseacre Coffee Milk Stout,4.5,8,36,2021,BI,Beer
Draft Wiseacre Tiny Bomb Pilsner,5.75,220,1227.64,2021,BI,Beer
Draft Wiseacre Tiny Bomb Pilsner,4.75,50,235.13,2021,BI,Beer
Draft Yazoo Brown,5.5,15,77,2021,BI,Beer
Draft Yazoo Brown,4.5,7,31.5,2021,BI,Beer
Draft Yazoo Calla Hazy,5.5,64,341,2021,BI,Beer
Draft Yazoo Calla Hazy,4.5,14,63,2021,BI,Beer
Draft Yazoo Daddy O Pilsner,5.5,60,330,2021,BI,Beer
Draft Yazoo Daddy O Pilsner,4.5,12,54,2021,BI,Beer
Draft Yazoo Lake Dog Lager,5.5,45,247.5,2021,BI,Beer
Draft Yazoo Lake Dog Lager,4.5,6,27,2021,BI,Beer
Drag Brunch Deep E Shot,4,5,20,2021,LV,Spirits
E.O. Sour,9,6,54,2019,LV,Spirits
Easy Breezy,4.5,5,22.5,2021,CH,Beer
Eddy Transfusion,5,23,115,2021,LV,Spirits
Edmund's Seasonal,9,93,837,2022,BI,Beer
Edmund's Seasonal,9,487,4198,2021,BI,Beer
Edmund's Seasonal,7.5,19,142.5,2021,BI,Beer
El Jimador Reposado,4,2347,9196,2020,BI,Beer
El Jimador Reposado,4,3153,12232,2019,BI,Beer
El Jimador Reposado,4,2664,10080,2021,LV,Spirits
El Jimador Reposado,3,36,108,2021,LV,Spirits
Elijah Craig 12,7.5,4,30,2022,LV,Spirits
Elijah Craig 12,7,15,105,2020,LV,Spirits
Elijah Craig 12,7,13,91,2019,LV,Spirits
Elysian Spacedust,6,20,120,2021,BD,Beer
Elysian Spacedust,6,111,654,2020,BD,Beer
English Garden,8.5,96,816,2022,BD,Beer
Espolon,5,1120,5325,2021,LV,Spirits
Espolon,5,172,830,2022,LV,Spirits
Espolon,5,453,2140,2020,LV,Spirits
Fernet Branca,7.5,222,1627.5,2021,LV,Spirits
Fernet Branca,7.5,67,480,2022,LV,Spirits
Fernet Branca,7.5,134,997.5,2020,LV,Spirits
Fernet Branca,7.5,293,2182.5,2019,LV,Spirits
Fire Water,10,262,2620,2021,CH,Spirits
Fire Water,10,66,650,2022,CH,Spirits
Fire Water,10,32,320,2020,CH,Spirits
Founders IPA,4.5,109,472.5,2019,CH,Spirits
Frangelico,6,26,156,2021,LV,Spirits
Frangelico,6,1,6,2022,LV,Spirits
Frangelico,6,4,24,2020,LV,Spirits
Frangelico,6,24,144,2019,LV,Spirits
Garnacha,24,5,60,2021,WI,Wine
Garnacha,6,13,60,2021,WI,Wine
Garnacha,6,2,12,2022,WI,Wine
George Dickel,4,782,3104,2021,LV,Spirits
George Dickel,3.75,4011,14853.75,2021,LB,Spirits
George Dickel,3.75,811,2962.5,2022,LB,Spirits
George Dickel,3.75,3943,14583.77,2020,LB,Spirits
George Dickel,3.75,7748,28215.63,2019,LB,Spirits
George Dickel,3,147,438,2021,LB,Spirits
George Dickel,3,120,360,2022,LB,Spirits
George Dickel Rye,5,85,415,2021,LB,Spirits
George Dickel Rye,5,8,40,2022,LB,Spirits
George Dickel Rye,5,57,285,2020,LB,Spirits
George Dickel Rye,5,77,370,2019,LB,Spirits
GL 11.4 wine,5,12,60,2021,WI,Wine
Glenfiddich 12yr,8,18,144,2021,LV,Spirits
Glenfiddich 12yr,8,3,24,2022,WI,Spirits
Glenfiddich 12yr,8,18,144,2020,WI,Spirits
Glenfiddich 12yr,8,13,104,2019,WI,Spirits
Glenlivet Single,8,15,120,2022,LV,Spirits
Glenlivet Single,8,29,224,2020,LV,Spirits
Glenlivet Single,8,73,568,2019,LV,Spirits
Glenlivet Single,8,92,736,2021,LV,Spirits
Gone With The Gin,8,407,3232,2021,CH,Spirits
Gone With The Gin,8,90,716,2020,CH,Spirits
Good Times Blonde,5.25,2,10.5,2022,CH,Spirits
Good Times Carolina Sunrise,5.25,19,99.75,2021,BI,Beer
Good Times No Sleep Til Brewklyn,6.5,23,149.5,2021,BI,Beer
Good Times The Wilds IPA,4.5,22,94.5,2021,BD,Beer
Good Times Wilds IPA,4.5,18,81,2022,BD,Beer
Gordon's Gin,3.5,489,1690.5,2022,BD,Beer
Gordon's Gin,3.5,1326,4584.65,2020,BD,Beer
Gordon's Gin,3.5,3048,10538.5,2019,BD,Beer
Gordon's Gin,3,7,21,2022,BD,Beer
Gordon's Gin,3.5,1524,5230.75,2021,LC,Spirits
Gordon's Gin,3,30,90,2021,LC,Spirits
Grand Marnier,6,99,594,2021,LV,Spirits
Grand Marnier,6,21,126,2022,LV,Spirits
Grand Marnier,6,32,219,2020,LV,Spirits
Grapefruit Kamikaze,4.5,9,40.5,2021,CH,Spirits
Great Divide Claymore Scotch Ale,5.5,4,22,2021,WI,Beer
Great Divide Scotch Ale,5.5,11,55,2022,WI,Beer
GreatDivide CoffeePorte,7.5,34,255,2022,WI,Beer
GreatDivide CoffeePorte,6.5,2,13,2022,WI,Beer
Guiness ,5.75,400,2121.75,2021,BI,Beer
Guiness ,5.75,155,853.89,2022,BI,Beer
Guiness ,5.75,308,1595.63,2020,BI,Beer
Guiness ,5.75,427,2432.25,2019,BI,Beer
Halloween Shot,5,28,140,2020,BI,Beer
Heathered Highland,8.5,62,527,2022,BI,Beer
Hendrick's Gin,8.5,78,654.5,2022,BI,Beer
Hendrick's Gin,8.5,90,765,2020,BI,Beer
Hendrick's Gin,8.5,181,1504.5,2019,BI,Beer
Hendrick's Gin,8.5,339,2830.5,2021,LC,Spirits
Herradura,10,7,50,2020,LC,Spirits
High West Rye,11.5,2,11.5,2020,LC,Spirits
High West Rye,11.5,28,310.5,2019,LC,Spirits
Highland Gaelic,4.75,262,1225.51,2019,LC,Beer
Highland Oatmeal,4.75,183,864.5,2020,LC,Beer
Highland Oatmeal,4.75,670,3182.5,2019,LC,Beer
Highland Oatmeal Porter,4.75,39,184.78,2021,BI,Beer
Highland Park 15,14,1,0,2020,BI,Spirits
Highland Park 15,14,2,28,2019,BI,Spirits
Highland Park 15,11,10,110,2019,BI,Spirits
Hilton Head Rum,8,17,136,2022,BI,Beer
Hilton Head Rum,6.75,45,176.75,2022,BI,Beer
Hilton Head Rum,3,12,36,2022,BI,Beer
Hiwire Lager,5,13,60,2019,BI,Beer
Holiday Penicillin,8.5,5,42.5,2021,LV,Spirits
Holiday Penicillin,8.5,10,85,2022,LV,Spirits
Hoodoo Chickory Liqueur,5.5,1,5.5,2021,LV,Spirits
Hoodoo Chickory Liqueur,5.5,1,5.5,2022,LV,Spirits
Hoodoo Chickory Liqueur,5.5,4,22,2020,LV,Spirits
Hoodoo Chickory Liqueur,5.5,7,38.5,2019,LV,Spirits
Hornitos Black,7.75,20,147.25,2021,LC,Spirits
Hornitos Black,7.75,1,7.75,2022,LC,Spirits
Hornitos Blanco,5,390,1900,2019,LC,Spirits
Hornitos Blanco,4,295,1088,2021,LV,Spirits
Hornitos Blanco,4,903,3368,2022,LV,Spirits
Hornitos Blanco,3,32,96,2021,LV,Spirits
Hornitos Blanco,3,12,36,2022,LV,Spirits
Hot Toddy,2,28,56,2021,LD,Spirits
Hot Toddy,2,13,26,2022,LD,Spirits
Hot Toddy,2,25,50,2020,LD,Spirits
Hot Toddy,2,46,92,2019,LD,Spirits
House beer shot special,5.31,832,4359.51,2021,BI,Beer
House beer shot special,5.31,84,435.42,2022,BI,Beer
House beer shot special,5.31,1091,5761.35,2020,BI,Beer
House beer shot special,5.31,2722,14339.66,2019,BI,Beer
House Bloody Mary,5,173,774,2020,BI,Beer
Industry Coors,2,6,12,2022,BI,Beer
Industry Fernet,5,6,30,2022,BI,Beer
Industry G&T,2.5,1,2.5,2022,BI,Beer
Infuse Apple,5.5,1,5.5,2019,BI,Beer
Irish  Coffee,5.75,46,264.5,2021,CH,Spirits
Irish  Coffee,5.75,12,69,2022,CH,Spirits
Irish  Coffee,5.75,51,284,2020,CH,Spirits
Irish  Coffee,5.5,163,885.5,2019,CH,Spirits
Irish Breakfast,4,446,1780,2021,LV,Spirits
Irish Breakfast,4,87,348,2022,LV,Spirits
Irish Breakfast,4,159,636,2020,LV,Spirits
Irish Breakfast,4,221,876,2019,LV,Spirits
J.WEED,5,202,1010,2021,LV,Spirits
J.WEED,5,56,275,2022,LV,Spirits
J.WEED,5,250,1250,2020,LV,Spirits
J.WEED,5,396,1960,2019,LV,Spirits
Jack Daniel's,6.5,842,5401.5,2021,LB,Spirits
Jack Daniel's,6.5,251,1625,2022,LV,Spirits
Jack Daniel's,6.5,532,3406,2020,LV,Spirits
Jack Daniel's,6.5,1026,6503.25,2019,LV,Spirits
Jack Daniel's SINGLE,10.5,7,73.5,2022,LB,Spirits
Jack Daniel's SINGLE,10.5,5,52.5,2021,LB,Spirits
Jaha  Reposado,6,26,153,2019,LB,Spirits
Jalapenis Marg,5,7,35,2021,LV,Spirits
Jameson,5.5,1963,10681,2021,LV,Spirits
Jameson,5.5,464,2546.5,2022,LV,Spirits
Jameson,5.5,1264,6825.5,2020,LV,Spirits
Jameson,5.5,2154,11390.5,2019,LV,Spirits
Jameson,3,34,102,2021,LV,Spirits
Jameson,3,11,33,2022,LV,Spirits
Jameson Black Barrel,5.75,71,408.25,2021,LC,Spirits
Jameson Black Barrel,5.75,13,74.75,2022,LC,Spirits
Jameson Caskmates IPA,6,50,300,2021,LC,Spirits
Jameson Caskmates IPA,6,25,150,2022,LC,Spirits
Jameson Cold Brew,4,23,92,2021,LV,Spirits
Jameson Cold Brew,4,19,76,2020,LV,Spirits
Jameson Green Tea,3.5,2029,7007,2021,LV,Spirits
Jameson Green Tea,3.5,559,1900.5,2022,LV,Spirits
Jameson Green Tea,3.5,316,1071,2020,LV,Spirits
Jameson Green Tea,3.5,401,1396.5,2019,LV,Spirits
Jameson Orange,6.25,57,337.5,2022,LV,Spirits
Jamo Flight,15,4,60,2021,LV,Spirits
Jamo Flight Special,10,7,70,2021,LC,Spirits
Jasper's,6,4,21,2019,LC,Spirits
Jaws Bite,5,3,15,2021,LV,Spirits
Jello Shot,2.5,49,122.5,2021,LV,Spirits
Jello Shot,2,106,212,2019,LV,Spirits
Jen Body Bomb,8,3,24,2021,LV,Spirits
Jim Beam Apple,4,9,36,2022,LV,Spirits
Jim Beam Apple,4,76,304,2021,LV,Spirits
Johnnie Walker Black,9,66,585,2021,LV,Spirits
Johnny Walker Black,9,6,54,2022,LV,Spirits
Johnny Walker Black,9,18,162,2020,LV,Spirits
Johnny Walker Black,9,12,108,2019,LV,Spirits
Johnny Walker Rye,10,2,20,2021,LC,Spirits
Johnny Walker Rye,10,2,10,2022,LV,Spirits
Juice Box,3,9,27,2019,LC,Spirits
Kahlua,5.75,22,126.5,2021,LC,Spirits
Kahlua,5.75,6,34.5,2022,LC,Spirits
Kahlua,5.75,20,109.25,2020,LC,Spirits
Kahlua,5.75,8,46,2019,LC,Spirits
KayLaRita,9.5,187,1655.5,2019,CH,Spirits
KayLaRita,8,715,5704,2021,CH,Spirits
KayLaRita,8,135,1064,2022,CH,Spirits
KayLaRita,8,196,1909.5,2020,CH,Spirits
Ketel One Botanicals,6,174,1032,2021,LV,Spirits
Ketel One Botanicals,6,52,306,2022,LV,Spirits
Ketel One Botanicals,6,106,636,2020,LV,Spirits
Ketel One Botanicals,6,231,1356,2019,LV,Spirits
Ketel One Botanicals,6,117,690,2022,LV,Spirits
Ketel One Botanicals,6,209,1236,2020,LV,Spirits
Ketel One Botanicals,6,75,444,2019,LV,Spirits
Ketel One Botanicals,6,443,2616,2021,LV,Spirits
Kimmy,5,34,170,2019,LV,Spirits
Kissed By A Rose,8.5,813,6910.5,2021,CH,Spirits
Kissed By A Rose,8.5,48,408,2022,CH,Spirits
Kissed By A Rose,8.5,425,3612.5,2020,CH,Spirits
Kissed By A Rose,8.5,214,1810.5,2019,CH,Spirits
Knob Creek,7.5,52,390,2022,CH,Spirits
Knob Creek,7.5,127,952.5,2020,CH,Spirits
Knob Creek,7.5,207,1545,2019,CH,Spirits
Knob Creek Bourbon,7.5,102,765,2021,LV,Spirits
Lagavulin 16,13.5,37,432,2021,LV,Spirits
Lagavulin 16,13.5,9,121.5,2022,LV,Spirits
Lagavulin 16,13.5,11,148.5,2020,LV,Spirits
Lagavulin 16,13.5,37,486,2019,LV,Spirits
Lagunitas Hazy Wonder ,4.75,15,71.25,2021,BI,Beer
Lagunitas Hazy Wonder ,4.75,89,418,2022,LV,Beer
Larceny,6,91,546,2021,LB,Spirits
Larceny,6,37,222,2022,LB,Spirits
Larceny,6,95,570,2020,LB,Spirits
Larceny,6,135,798,2019,LB,Spirits
Lavender Bees Knees,9,1,9,2020,LB,Spirits
Lavender Bees Knees,9,143,1278,2019,LB,Spirits
Lemon Drop,4.5,57,256.5,2022,LB,Spirits
Lemon Drop,4.5,27,121.5,2020,LB,Spirits
Life`s a Beach,5,10,50,2021,CH,Spirits
Limoncello,4.5,1,4.5,2020,CH,Spirits
Limoncello,4.5,2,9,2019,CH,Spirits
Long Island Iced Tea,6.5,84,526.5,2021,BV,Spirits
Long Island Iced Tea,6.5,30,195,2022,BV,Spirits
Long Island Iced Tea,6.5,69,448.5,2020,BV,Spirits
Long Island Iced Tea,6.5,98,637,2019,BV,Spirits
Loyal Can,9.5,16,152,2022,BV,Spirits
Lucid Absinthe,15,4,53.5,2022,BV,Spirits
LUNAZUL SILVER,4,29,116,2021,LV,Spirits
Macallan 15yr,15,33,480,2019,LV,Spirits
Macallan 15yr,11,19,209,2020,LV,Spirits
Macallan 15yr,11,6,66,2019,LV,Spirits
Macallan 15yr,10,1,10,2019,LV,Spirits
Mad Lad,5,10,50,2022,LV,Spirits
Magners Cider,5.25,338,1764,2021,BI,Beer
Magners Cider,5.25,106,546,2022,BI,Beer
Magners Cider,5.25,234,1228.5,2020,BI,Beer
Magners Cider,5.25,316,1638.01,2019,BI,Beer
Maisel Hefe Weizen,7.25,134,938.5,2019,BI,Beer
Makers Mark,6.5,207,1306.5,2022,BI,Beer
Makers Mark,6.5,314,2014.35,2020,BI,Beer
Makers Mark,6.5,595,3835,2019,BI,Beer
Maker's Mark,6.5,772,4907.5,2021,LV,Spirits
Maker's Mark 101,12,38,412,2021,LV,Spirits
Maker's Mark 101,12,3,36,2022,LV,Spirits
Maker's Mark 101,8,5,40,2020,LV,Spirits
Malbec,32,3,48,2022,LV,Wine
Malbec,32,23,368.01,2019,LV,Wine
Malbec,32,10,192,2020,LV,Wine
Malbec,8,209,1652,2019,LV,Spirits
Malbec,7.5,127,941.5,2020,LV,Spirits
Malbec,7,21,147,2022,LV,Spirits
Malbec,32,11,224,2021,WI,Wine
Malbec,7.5,189,1297.5,2021,WI,Wine
Malfy Lemon Gin,7,58,392,2021,LC,Spirits
Malfy Lemon Gin,7,23,161,2022,WI,Spirits
Malibu Watermelon Rum,4,19,76,2021,LC,Spirits
Mambo,5,22,110,2019,LC,Spirits
Manhattan,2.5,72,177.5,2021,BV,Spirits
Manhattan,2.5,27,67.5,2022,BV,Spirits
Manhattan,2.5,36,90,2020,BV,Spirits
Manhattan,2.5,93,232.5,2019,BV,Spirits
Marg Pitcher,20,5,100,2021,LV,Spirits
Marg Pitcher,20,2,40,2022,LV,Spirits
Marg Single,5.25,3,15.75,2021,LV,Spirits
Martini,2.5,69,172.5,2021,BV,Spirits
Martini,2.5,22,55,2022,BV,Spirits
Martini,2.5,23,57.5,2020,BV,Spirits
Martini,2.5,47,117.5,2019,BV,Spirits
Mata Hari Absinthe,8.5,16,136,2021,LV,Spirits
Mata Hari Absinthe,8.5,26,221,2020,LV,Spirits
Mata Hari Absinthe,8.5,34,289,2019,LV,Spirits
Merlot,7,56,385,2019,LV,Spirits
Mexican Ashtrays,4.43,4,17.72,2022,LV,Spirits
Mexican Ashtrays,4.43,11,48.73,2020,LV,Spirits
Mezcal Mule,7.5,24,201,2021,CH,Spirits
Mezcal Mule,7.5,53,397.5,2022,CH,Spirits
Mich Ultra,4.43,48,203.78,2019,CH,Beer
Midori Sour,6,23,138,2019,CH,Spirits
Miller Lite,18,1,18,2021,BI,Beer
Miller Lite,3.75,2400,8906.25,2021,SI,Beer
Miller Lite,3.75,722,2681.25,2022,SI,Beer
Miller Lite,3.75,165,615,2020,SI,Beer
Miller Lite,2.75,45,123.75,2021,SI,Beer
Miller Lite,2.75,68,187,2022,SI,Beer
Mimosa,5.99,50,263.56,2019,LV,Spirits
Mimosa,4,119,456,2021,LV,Spirits
Mimosa,4,669,2652,2021,LV,Spirits
Mimosa,4,112,448,2022,LV,Spirits
Mimosa,4,19,76,2022,LV,Spirits
Mimosa,4,60,313.63,2020,LV,Spirits
Mimosa,4,780,2561,2020,LV,Spirits
Mimosa,3,643,1896,2019,LV,Spirits
Mimosa  Pitcher,16,10,160,2021,LV,Spirits
Mimosa  Pitcher,16,277,4368,2021,LV,Spirits
Mimosa  Pitcher,16,42,656,2022,LV,Spirits
Mimosa  Pitcher,16,14,228,2020,LV,Spirits
Mimosa Endless,20,26,520,2021,LV,Spirits
Mimosa Endless,20,290,5800,2021,LV,Spirits
Mimosa Endless,20,43,860,2022,LV,Spirits
Mimosa Endless,20,2,40,2022,LV,Spirits
Mimosa Endless,20,4,80,2020,LV,Spirits
Mimosa Endless,20,17,340,2020,LV,Spirits
Misc Liquor,8,34,156.5,2021,LV,Spirits
Misc Liquor,7,24,115,2022,LV,Spirits
Mixed Cocktail,5.5,148,770,2021,LV,Spirits
Mixed Cocktail,5.5,41,225.5,2022,LV,Spirits
Mixed Cocktail,5.5,163,896.5,2020,LV,Spirits
Mixed Cocktail,5.5,405,2211,2019,LV,Spirits
Mixed Cocktail $10,10,11,110,2022,LV,Spirits
Mixed Cocktail $6,6,13,78,2021,LV,Spirits
Mixed Cocktail $6,6,32,192,2020,LV,Spirits
Mixed Cocktail $6,6,69,414,2019,LV,Spirits
Mixed cocktail $6.5,6.5,34,195,2021,LV,Spirits
Mixed cocktail $6.5,6.5,5,32.5,2022,LV,Spirits
Mixed cocktail $6.5,6.5,29,188.5,2020,LV,Spirits
Mixed cocktail $6.5,6.5,57,370.5,2019,LV,Spirits
Mixed cocktail $7,7,109,707,2021,LV,Spirits
Mixed cocktail $7,7,43,294,2022,LV,Spirits
Mixed cocktail $7,7,60,413,2020,LV,Spirits
Mixed cocktail $7,7,90,630,2019,LV,Spirits
Mobtelobos Mezcal,9,20,160,2022,LV,Spirits
Monkey Shoulder,7.5,49,367.5,2021,LV,Spirits
Monkey Shoulder,7.5,8,60,2022,LV,Spirits
Monkey Shoulder,7.5,27,202.5,2020,LV,Spirits
Monkey Shoulder,7.5,51,382.5,2019,LV,Spirits
Moscow Mule,7,860,5999,2021,CH,Spirits
Moscow Mule,7,233,1624,2022,CH,Spirits
Moscow Mule,7,590,4123,2020,CH,Spirits
Moscow Mule,7,694,4830,2019,CH,Spirits
Muletide Greeting,7,33,231,2021,LV,Spirits
Muletide Greeting,7,57,399,2022,LV,Spirits
Naked Turtle,3.5,223,766.5,2020,LV,Spirits
Naked Turtle,3.5,339,1179.5,2019,LV,Spirits
NB  Glutiny,5,53,262.5,2020,LV,Spirits
NB  Glutiny,5,47,225,2019,LV,Spirits
New Belgium Fruit Smash Seltzer,4,271,1060,2021,BD,Beer
New Belgium Seltzer,4,143,556,2022,BD,Beer
New Sarum Blue Flower Purple Sour Power,7,19,112,2021,BI,Beer
New Sarum Grimes Hazy IPA,5.25,126,635.25,2021,BI,Beer
New Sarum Princess peach IPA 16OZ,7,43,280,2021,BI,Beer
Noda Coco Loco,7,93,644,2021,BI,Beer
NYE Champagne Bottle,15,4,60,2020,BI,Wine
NYE Champagne Bottle,15,10,150,2019,BI,Wine
NYE Champagne Glass,4.63,1,4.63,2021,BI,Beer
Old Fashion,1.25,610,761.25,2021,MA,Spirits
Old Fashion,1.25,225,281.25,2022,MA,Spirits
Old Fashion,1.25,291,362.51,2020,MA,Spirits
Old Fashion,1.25,581,725,2019,MA,Spirits
Old Forrester 1910,18.5,13,240.5,2021,LC,Spirits
Old Forrester 1910,13.5,14,162,2021,LC,Spirits
One Car Bomb,5,4,20,2022,LC,Spirits
Open Bar,7.5,193,3682.96,2021,LB,Spirits
Open Bar,4,44,201.02,2022,LB,Spirits
Open Bar,3,70,1178.8,2020,LB,Spirits
Open Bar,2,101,614.81,2019,LB,Spirits
Orange Creamsicle,4.5,11,49.5,2021,CH,Spirits
Palmetto Espresso,5,3,15,2021,BD,Beer
Palmetto Porter,5,18,90,2022,BD,Beer
Paulaner Oktoberfest w/ Mug  can 5pk,21,2,42,2021,BI,Beer
PB Cup Shot,5,85,425,2021,LV,Spirits
PB Cup Shot,5,43,215,2020,LV,Spirits
PB&J Shot,5,13,65,2021,LV,Spirits
PB&J Shot,5,2,10,2020,LV,Spirits
Peach Schnapps,4,2,8,2021,LV,Spirits
Peach Schnapps,4,2,8,2022,LV,Spirits
Peach Schnapps,4,4,16,2020,LV,Spirits
Peach Schnapps,4,23,88,2019,LV,Spirits
Pendleton,6.5,1,0,2020,LV,Spirits
Pendleton,6.5,6,39,2019,LV,Spirits
Pernod Absinthe,10,3,20,2020,LV,Spirits
Pernod Absinthe,10,21,210,2019,LV,Spirits
Pilsner Urquell,5,388,1935,2021,BD,Beer
Pilsner Urquell,5,133,665,2022,BD,Beer
Pilsner Urquell,5,388,1940,2020,BD,Beer
Pilsner Urquell,5,657,3255,2019,BD,Beer
Pimms No 1,5.5,13,71.5,2021,LV,Spirits
Pimms No 1,5.5,14,77,2022,LV,Spirits
Pimms No 1,5.25,3,15.75,2021,LV,Spirits
Pink Paloma,8.5,22,187,2021,CH,Spirits
Pinot Grigio,32,4,74.88,2022,CH,Wine
Pinot Grigio,32,2,32,2020,CH,Wine
Pinot Grigio,32,13,240,2019,CH,Wine
Pinot Grigio,8,347,2768,2019,CH,Spirits
Pinot Grigio,7.5,87,637.5,2022,CH,Spirits
Pinot Grigio,7.5,256,1872.73,2020,CH,Spirits
Pinot Grigio,32,17,352,2021,WI,Wine
Pinot Grigio,7.5,318,2362.5,2021,WI,Wine
Pinot Noir,32,16,256,2019,WI,Wine
Pinot Noir,36,12,234,2022,WI,Wine
Pinot Noir,36,12,218,2020,WI,Wine
Pinot Noir,20,18,220,2019,WI,Wine
Pinot Noir,9,129,1098,2022,WI,Wine
Pinot Noir,8,263,2092,2019,WI,Wine
Pinot Noir,9,229,1700,2020,WI,Wine
Pinot Noir,36,6,108,2021,WI,Wine
Pinot Noir,9,439,3717,2021,WI,Wine
Pisco Sour,9,77,684,2022,WI,Wine
Pitter Patter,7,37,252,2019,WI,Spirits
POP RoX,5,26,130,2019,WI,Spirits
Quest BPA,5.25,1,5.25,2020,WI,Beer
Quest BPA,5.25,15,78.75,2019,WI,Beer
Quest Kaldi,8.5,4,34,2019,WI,Beer
RB Ginsburg,5,4,20,2021,LV,Spirits
Red Breast,10,29,290,2019,LV,Spirits
Red Stripe,4,680,2684,2021,BI,Beer
Red Stripe,4,170,660,2022,BI,Beer
Red Stripe,4,611,2438,2020,BI,Beer
Red Stripe,4,1163,4616,2019,BI,Beer
Red Velvet Rose,9,26,234,2020,BI,Beer
Reedy Beer,5,45,225,2021,LV,Spirits
Reedy Vodka,5,20,100,2021,LV,Spirits
Reedy Whisky,5,30,150,2021,LV,Spirits
Reedy Wine,5,56,280,2021,LV,Spirits
Revelry Seltzer,6,23,138,2021,BI,Beer
Rittenhouse Rye,6,92,552,2021,LV,Spirits
Rittenhouse Rye,6,32,192,2022,LV,Spirits
Rittenhouse Rye,6,63,366,2020,LV,Spirits
Rittenhouse Rye,6,93,546,2019,LV,Spirits
Rose,8,81,640,2019,LV,Wine
Rose,8,1,8,2019,LV,Wine
Rose,24,14,168,2020,LV,Wine
Rose,24,5,60,2019,LV,Wine
Rose,32,6,144,2019,LV,Wine
Rose,20,19,220,2019,LV,Wine
Rose,24,4,36,2022,LV,Wine
Rose,6,69,372,2020,LV,Wine
Rose,6,4,24,2020,LV,Wine
Rose,6,50,300,2019,LV,Wine
Rose,6,4,24,2019,LV,Wine
Rose,8,40,320,2019,LV,Wine
Rose,6,46,240,2022,LV,Wine
Rose,24,2,24,2021,WI,Wine
Rose,24,4,36,2021,WI,Wine
Rose,6,83,492,2021,WI,Wine
Rose,6,3,18,2021,WI,Wine
Rose,6,41,246,2021,WI,Wine
Rose,6,1,6,2021,WI,Wine
Russelle R,7.5,14,97.5,2019,WI,Spirits
Rye N Gosling,7,49,343,2020,WI,Spirits
Rye N Gosling,7,153,1071,2019,WI,Spirits
